,phrase,label,sentiment,subjectivity,language,count,gnd,geonames,geotype,latitude,longitude,continent,country,ipcc
California,California,GPE,-0.06215363,0.44912559,en,190.70000000,,11071615,L,34.68743000,-116.78467000,NORTH-AMERICA,United States,WNA
Lake Tahoe,Lake Tahoe,LOC,-0.04848063,0.48774089,en,121.30000000,4366043-5,5397664,P,38.93324000,-119.98435000,NORTH-AMERICA,United States,WNA
Italy,Italy,GPE,0.01467349,0.17590077,en,54.00000000,4027833-5,3175395,A,42.83333000,12.83333000,EUROPE-AFRICA,Italy,MED
Alps,Alps,GPE,-0.05521527,0.19761872,en,43.80000000,,2661786,T,46.41667000,10.00000000,EUROPE,Switzerland,WCE
Nepal,Nepal,GPE,-0.13611431,0.21418331,en,43.40000000,4041612-4,1282988,A,28.00000000,84.00000000,ASIA,Nepal,TIB
Colorado,Colorado,GPE,0.03822333,0.97438954,en,38.10000000,4010406-0,5417618,A,39.00027000,-105.50083000,NORTH-AMERICA,United States,WNA
Austria,Austria,GPE,-0.16956402,0.26133318,en,30.20000000,4043271-3,2782113,A,47.33333000,13.33333000,EUROPE,Austria,WCE
Philippines,Philippines,GPE,-0.20933591,0.29709542,en,23.50000000,4045771-0,1694008,A,13.40882000,122.56155000,ASIA,Philippines,SEA
B.C.,B.C.,GPE,0.06299858,0.53137464,en,23.40000000,,7315164,P,32.71904000,-114.66005000,CENTRAL-AMERICA,United States,NCA
South Tyrol,South Tyrol,GPE,-0.01901231,0.22728946,en,22.40000000,4007901-6,3181913,P,46.49067000,11.33982000,EUROPE,Italy,WCE
Washington,Washington,GPE,-0.06426554,0.27605148,en,17.70000000,4064682-8,4140963,P,38.89511000,-77.03637000,NORTH-AMERICA,United States,ENA
Northern California,Northern California,LOC,-0.06490736,0.45597229,en,17.50000000,,11071615,L,34.68743000,-116.78467000,NORTH-AMERICA,United States,WNA
US,US,GPE,-0.11869475,0.43819123,en,17.40000000,,12217089,L,8.62000000,-170.11000000,PACIFIC,,NPO
Tahoe,Tahoe,GPE,-0.09473881,0.43102624,en,16.90000000,4366043-5,5397664,P,38.93324000,-119.98435000,NORTH-AMERICA,United States,WNA
Utah,Utah,GPE,0.10560389,0.37926714,en,15.60000000,4062214-9,5549030,A,39.25024000,-111.75103000,NORTH-AMERICA,United States,WNA
U.S.,U.S.,GPE,-0.06290022,0.67000197,en,14.70000000,,6255150,L,-14.60485000,-57.65625000,SOUTH-AMERICA,Brazil,SAM
Switzerland,Switzerland,GPE,0.00643584,0.29074726,en,14.20000000,,2658434,A,47.00016000,8.01427000,EUROPE,Switzerland,WCE
Alaska,Alaska,GPE,-0.06713644,0.57066138,en,13.50000000,4001016-8,5879092,A,64.00028000,-150.00028000,NORTH-AMERICA,United States,NWN
Sierra Nevada,Sierra Nevada,LOC,-0.15556694,0.42969735,en,12.20000000,,5395648,T,36.57855000,-118.29342000,NORTH-AMERICA,United States,WNA
Truckee,Truckee,GPE,0.10018130,0.43830614,en,11.70000000,,5403683,S,39.31991000,-120.14047000,NORTH-AMERICA,United States,WNA
France,France,GPE,-0.06019368,0.29841998,en,10.90000000,4018145-5,3017382,A,46.00000000,2.00000000,EUROPE,France,WCE
Canada,Canada,GPE,-0.06609439,0.89498167,en,9.40000000,4029456-0,6251999,A,60.10867000,-113.64258000,NORTH-AMERICA,Canada,NWN
Mount Yalung Ri,Mount Yalung Ri,LOC,-0.22111742,0.20217803,en,8.80000000,,0,,,,,,
Calif.,Calif.,GPE,-0.17258523,0.69318182,en,8.80000000,,11071615,L,34.68743000,-116.78467000,NORTH-AMERICA,United States,WNA
ROME,ROME,GPE,0.00921569,0.14274510,en,8.50000000,4050471-2,3169070,P,41.89193000,12.51133000,EUROPE-AFRICA,Italy,MED
Salzburg,Salzburg,GPE,-0.11788618,0.04878049,en,8.20000000,4076982-3,2766824,P,47.79941000,13.04399000,EUROPE,Austria,WCE
Castle Peak,Castle Peak,LOC,0.04526749,0.37778569,en,8.10000000,,6630899,T,-66.99150000,-65.88439000,POLAR,Antarctica,WAN
Europe,Europe,LOC,-0.06089744,0.87820513,en,7.80000000,,12217848,L,50.28762000,15.19030000,EUROPE,Czechia,WCE
DENVER,DENVER,GPE,0.04496997,0.89718468,en,7.40000000,4085412-7,5419384,P,39.73915000,-104.98470000,NORTH-AMERICA,United States,CNA
Japan,Japan,GPE,0.11622550,0.28191513,en,7.20000000,4028495-5,1861060,A,35.68536000,139.75309000,ASIA,Japan,EAS
Los Angeles,Los Angeles,GPE,-0.30257682,1.41140276,en,7.10000000,4036361-2,5368361,P,34.05223000,-118.24368000,NORTH-AMERICA,United States,WNA
Juneau,Juneau,GPE,0.03128406,0.71282871,en,6.70000000,4198801-2,5554072,P,58.30194000,-134.41972000,NORTH-AMERICA,United States,NWN
SAN FRANCISCO,SAN FRANCISCO,GPE,0.01525253,0.37540404,en,6.60000000,4344631-0,3600949,P,14.08180000,-87.20681000,CENTRAL-AMERICA,Honduras,SCA
Nevada County,Nevada County,GPE,-0.03906250,0.42187500,en,6.40000000,,5505411,P,36.03970000,-114.98194000,NORTH-AMERICA,United States,WNA
Iran,Iran,GPE,0.16612022,0.48579235,en,6.10000000,4027653-3,130758,A,32.00000000,53.00000000,ASIA,Iran,WCA
Kathmandu,Kathmandu,GPE,-0.20277778,0.38194444,en,6.00000000,4030036-5,1283240,P,27.70169000,85.32060000,ASIA,Nepal,TIB
Wyoming,Wyoming,GPE,-0.20027778,0.53944444,en,6.00000000,4067130-6,5843591,A,43.00024000,-107.50090000,NORTH-AMERICA,United States,WNA
Denver,Denver,GPE,0.00996405,1.67871375,en,5.90000000,4085412-7,5419384,P,39.73915000,-104.98470000,NORTH-AMERICA,United States,CNA
Mammoth Mountain,Mammoth Mountain,LOC,0.03017241,0.43390805,en,5.80000000,,5831487,P,44.97660000,-110.70160000,NORTH-AMERICA,United States,WNA
TRUCKEE,TRUCKEE,GPE,-0.36386494,0.36781609,en,5.80000000,,5403683,S,39.31991000,-120.14047000,NORTH-AMERICA,United States,WNA
alps,alps,GPE,-0.06444992,0.16871921,en,5.80000000,,2661786,T,46.41667000,10.00000000,EUROPE,Switzerland,WCE
Russia,Russia,GPE,0.07921318,0.49893674,en,5.70000000,4076899-5,2017370,A,60.00000000,100.00000000,ASIA,Russia,ESB
Everest,Everest,LOC,-0.32474747,0.71868687,en,5.50000000,,1283416,T,27.98791000,86.92529000,ASIA,China,TIB
Ontario,Ontario,GPE,0.00478796,0.72745310,en,5.40000000,4122012-2,6094817,P,45.41117000,-75.69812000,NORTH-AMERICA,Canada,ENA
Minnesota,Minnesota,GPE,0.51750000,1.04511905,en,5.00000000,4101012-7,5037779,A,46.25024000,-94.25055000,NORTH-AMERICA,United States,CNA
Indonesia,Indonesia,GPE,-0.13709524,0.38642857,en,5.00000000,4026761-1,1643084,A,-5.00000000,120.00000000,ASIA,Indonesia,SEA
La Plagne,La Plagne,GPE,-0.03333333,0.13333333,en,5.00000000,4536802-8,6690630,P,47.18831000,7.28706000,EUROPE,Switzerland,WCE
Greece,Greece,GPE,0.00496032,0.51215278,en,4.80000000,4022047-3,390903,A,39.00000000,22.00000000,EUROPE-AFRICA,Greece,MED
Frog Lake,Frog Lake,LOC,0.12056738,0.62158055,en,4.70000000,,6021686,H,47.55083000,-73.57278000,NORTH-AMERICA,Canada,ENA
Uttarakhand,Uttarakhand,GPE,0.09429400,0.58865248,en,4.70000000,1358877971,1444366,A,30.25000000,79.25000000,ASIA,India,TIB
Vegas,Vegas,GPE,0.34020683,1.38843635,en,4.50000000,4034659-6,5506956,P,36.17497000,-115.13722000,NORTH-AMERICA,United States,WNA
Nagano,Nagano,GPE,0.00000000,0.68181818,en,4.40000000,4310172-0,1856215,P,36.65000000,138.18333000,ASIA,Japan,EAS
Rockies,Rockies,LOC,-0.05523256,0.34205426,en,4.30000000,4050243-0,5836950,T,43.35826000,-110.91743000,NORTH-AMERICA,United States,WNA
